[1]
1,周末 - Weekend (zhou mo)
2,打算 - to plan;to intend (da suan)
3,啊 - part.used at the end of a sentence to indicate confirmation or defense (a)
4,跟 - with (gen)
5,一直 - always (yi zhi) - WARNING : IGNORE THE EXTRA STROKE ON ZHI
6,游戏 - game (you xi)
7,作业 - homework (zuo ye)
8,着急 - to be anxious (zhao ji)
9,复习 - to review (fu xi)
10,南方 - south area (nan fang)
11,北方 - north (bei fang)
12,面包 - bread (mian bao)
13,带 - to bring; to take (dai)
14,地图 - map (di tu)
15,搬 - to move (ban)
